LocationName,ISO,country,region,world_region,MPI,geo,lat,lon,id,funded_amount,loan_amount,activity,sector,use,country_code,currency,partner_id,posted_time,disbursed_time,funded_time,term_in_months,lender_count,tags,borrower_genders,repayment_interval,date,year,month,day
"La Libertad, El Salvador",SLV,El Salvador,La Libertad,Latin America and Caribbean,0.017,"(13.6817661, -89.3606298)",13.681766099999999,-89.3606298,784501,2300.0,2300.0,Agriculture,Agriculture,to buy agricultural supplies.,SV,USD,333.0,2014-10-16 22:17:00+00:00,2014-09-19 07:00:00+00:00,2014-11-25 05:30:34+00:00,14.0,80,"#Single Parent, #Vegan, #Woman Owned Biz, user_favorite, user_favorite","male, female, female, female",bullet,2014-10-16,2014,October,Thursday
"La Libertad, El Salvador",SLV,El Salvador,La Libertad,Latin America and Caribbean,0.017,"(13.6817661, -89.3606298)",13.681766099999999,-89.3606298,784513,2900.0,2900.0,Agriculture,Agriculture,to buy farm supplies.,SV,USD,333.0,2014-10-16 22:53:56+00:00,2014-09-25 07:00:00+00:00,2014-11-27 18:21:47+00:00,14.0,99,"#Schooling, #Vegan, #Single Parent, #Woman Owned Biz, user_favorite, user_favorite, user_favorite, user_favorite, user_favorite","female, male, female",bullet,2014-10-16,2014,October,Thursday
"La Libertad, El Salvador",SLV,El Salvador,La Libertad,Latin America and Caribbean,0.017,"(13.6817661, -89.3606298)",13.681766099999999,-89.3606298,790457,1500.0,1500.0,Agriculture,Agriculture,to purchase agricultural supplies.,SV,USD,333.0,2014-10-28 16:31:33+00:00,2014-10-03 07:00:00+00:00,2014-12-05 19:53:12+00:00,14.0,51,"user_favorite, #Interesting Photo, #Single Parent, #Vegan, #Woman Owned Biz, #Schooling, user_favorite","female, female, male",bullet,2014-10-28,2014,October,Tuesday
"La Libertad, El Salvador",SLV,El Salvador,La Libertad,Latin America and Caribbean,0.017,"(13.6817661, -89.3606298)",13.681766099999999,-89.3606298,894761,1600.0,1600.0,Farming,Agriculture,to purchase agricultural supplies. ,SV,USD,333.0,2015-05-30 18:24:43+00:00,2015-04-30 07:00:00+00:00,2015-06-22 19:04:37+00:00,14.0,59,"#Elderly, #Vegan","male, male, male",bullet,2015-05-30,2015,May,Saturday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,654358,1500.0,1500.0,Home Energy,Personal Use,to install electricity in her house.,SV,USD,199.0,2014-01-06 20:52:04+00:00,2013-12-30 08:00:00+00:00,2014-01-30 03:10:11+00:00,20.0,60,"#Parent, #Supporting Family, user_favorite, user_favorite",female,monthly,2014-01-06,2014,January,Monday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,654360,700.0,700.0,Farming,Agriculture,"to carry out the post-harvest activities for their corn, such as husking, storing the grain and cutting grass for sale. ",SV,USD,199.0,2014-01-06 20:58:58+00:00,2013-12-30 08:00:00+00:00,2014-01-07 13:34:29+00:00,14.0,20,,female,bullet,2014-01-06,2014,January,Monday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,654367,1300.0,1300.0,Higher education costs,Education,to cover the graduation costs for her daughter who has completed her information technology degree at the university.,SV,USD,199.0,2014-01-06 21:29:49+00:00,2013-12-30 08:00:00+00:00,2014-01-08 00:29:41+00:00,27.0,43,#Schooling,female,monthly,2014-01-06,2014,January,Monday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,657627,700.0,700.0,Food Market,Food,to buy more ice-cream for the dry season.,SV,USD,199.0,2014-01-15 17:10:21+00:00,2014-01-06 08:00:00+00:00,2014-02-16 09:00:47+00:00,20.0,20,"user_favorite, #Parent",male,monthly,2014-01-15,2014,January,Wednesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,657650,1000.0,1000.0,Construction,Construction,to pay labourers and to make sure his employees are happy so that his business is always operating.,SV,USD,199.0,2014-01-15 18:16:04+00:00,2014-01-10 08:00:00+00:00,2014-01-21 01:38:34+00:00,14.0,17,"#Job Creator, #Parent, user_favorite, user_favorite",male,monthly,2014-01-15,2014,January,Wednesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,657638,1000.0,1000.0,General Store,Retail,"to repair the patio in her house, putting down concrete so it is nicer and copes better with the rain; and also to buy more products for her shop to cover customer demand.",SV,USD,199.0,2014-01-15 17:40:18+00:00,2014-01-06 08:00:00+00:00,2014-02-16 09:11:03+00:00,20.0,30,"#Parent, #Woman Owned Biz, user_favorite",female,monthly,2014-01-15,2014,January,Wednesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,657646,700.0,1000.0,Personal Housing Expenses,Housing,"to renovate a bathroom in her house, installing a shower, washbasin and light and also plastering the walls; all of which will help her improve her home.",SV,USD,199.0,2014-01-15 18:02:45+00:00,2014-01-15 08:00:00+00:00,,14.0,25,"#Eco-friendly, #Biz Durable Asset, #Parent, user_favorite",female,monthly,2014-01-15,2014,January,Wednesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,657635,700.0,700.0,Agriculture,Agriculture,to pay for labor and supplies.,SV,USD,199.0,2014-01-15 17:25:49+00:00,2014-01-06 08:00:00+00:00,2014-01-17 22:14:31+00:00,14.0,25,,female,monthly,2014-01-15,2014,January,Wednesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,657630,700.0,700.0,Vehicle,Personal Use,to repair a car that his brother gave him from the U.S.,SV,USD,199.0,2014-01-15 17:18:28+00:00,2014-01-10 08:00:00+00:00,2014-02-15 18:17:36+00:00,14.0,18,"#Parent, user_favorite",male,monthly,2014-01-15,2014,January,Wednesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,659491,1100.0,1100.0,Personal Housing Expenses,Housing,"to buy the materials to construct a latrine and a bathroom.
",SV,USD,199.0,2014-01-20 16:15:08+00:00,2014-01-08 08:00:00+00:00,2014-01-29 14:13:50+00:00,26.0,38,"#Elderly, #Single, #Health and Sanitation",female,monthly,2014-01-20,2014,January,Monday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,659485,600.0,600.0,Agriculture,Agriculture,"to buy manure, fertilisers, and pesticides.",SV,USD,199.0,2014-01-20 16:05:52+00:00,2014-01-10 08:00:00+00:00,2014-02-03 17:43:55+00:00,14.0,21,"#Elderly, #Single, #Supporting Family",male,bullet,2014-01-20,2014,January,Monday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,659502,1000.0,1000.0,Personal Housing Expenses,Housing,to remodel a room of her house by repairing the roof and changing the floor.,SV,USD,199.0,2014-01-20 16:36:49+00:00,2014-01-10 08:00:00+00:00,2014-02-18 19:02:41+00:00,26.0,32,"#Elderly, #Single Parent, user_favorite, user_favorite",female,monthly,2014-01-20,2014,January,Monday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,659477,1600.0,1600.0,Livestock,Agriculture,"to purchase materials for his work--compost and fertilizer, and vitamins and medicine that he will use for his livestock.",SV,USD,199.0,2014-01-20 15:55:46+00:00,2014-01-06 08:00:00+00:00,2014-02-19 20:04:33+00:00,14.0,17,"#Elderly, #Parent, #Animals, user_favorite",male,bullet,2014-01-20,2014,January,Monday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,659471,400.0,400.0,Property,Housing,to purchase a plot of land. ,SV,USD,199.0,2014-01-20 15:44:41+00:00,2014-01-08 08:00:00+00:00,2014-01-21 03:45:34+00:00,14.0,16,,male,bullet,2014-01-20,2014,January,Monday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661091,250.0,250.0,Pigs,Agriculture,"to buy one or two pigs, depending on their size.",SV,USD,199.0,2014-01-23 15:52:02+00:00,2014-01-15 08:00:00+00:00,2014-01-25 12:30:13+00:00,14.0,9,,male,monthly,2014-01-23,2014,January,Thursday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661087,600.0,600.0,Retail,Retail,to buy school materials.,SV,USD,199.0,2014-01-23 15:46:18+00:00,2014-01-08 08:00:00+00:00,2014-02-21 13:44:37+00:00,20.0,23,user_favorite,female,monthly,2014-01-23,2014,January,Thursday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661703,700.0,700.0,Retail,Retail,"to buy bread, because this business will help her to increase her income.",SV,USD,199.0,2014-01-24 22:07:14+00:00,2014-01-23 08:00:00+00:00,2014-02-23 15:34:59+00:00,26.0,28,#Elderly,female,monthly,2014-01-24,2014,January,Friday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661701,800.0,800.0,Clothing,Clothing,to buy a greater variety and quantity of clothing.,SV,USD,199.0,2014-01-24 21:59:01+00:00,2014-01-07 08:00:00+00:00,2014-03-05 17:02:34+00:00,20.0,29,"#Schooling, #Woman Owned Biz, #Parent",female,monthly,2014-01-24,2014,January,Friday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661698,1500.0,1500.0,Retail,Retail,"to repair an old car that he owns, so that he will save a lot of money by not renting one, and to buy a larger quantity of eggs.",SV,USD,199.0,2014-01-24 21:47:43+00:00,2014-01-20 08:00:00+00:00,2014-03-17 21:16:05+00:00,26.0,45,"#Single, user_favorite",male,monthly,2014-01-24,2014,January,Friday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661695,1000.0,1000.0,Livestock,Agriculture,"to buy and sell cattle, because he is accomplished in this business and has complete confidence that he will make a profit.",SV,USD,199.0,2014-01-24 21:40:15+00:00,2014-01-20 08:00:00+00:00,2014-03-11 20:23:23+00:00,14.0,35,"#Elderly, #Inspiring Story, #Widowed, #Animals, user_favorite",male,bullet,2014-01-24,2014,January,Friday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661944,500.0,500.0,Agriculture,Agriculture,purchase manure and fertilizers.,SV,USD,199.0,2014-01-26 17:32:43+00:00,2014-01-17 08:00:00+00:00,2014-01-29 21:33:24+00:00,14.0,13,#Vegan,male,monthly,2014-01-26,2014,January,Sunday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661945,1000.0,1000.0,Food,Food,to purchase more cheese for resale. ,SV,USD,199.0,2014-01-26 17:39:29+00:00,2014-01-17 08:00:00+00:00,2014-02-21 18:03:46+00:00,20.0,40,"#Single Parent, #Woman Owned Biz, #Schooling, #Refugee, user_favorite",female,monthly,2014-01-26,2014,January,Sunday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661937,600.0,600.0,Jewelry,Retail,to buy more jewelry.,SV,USD,199.0,2014-01-26 16:52:15+00:00,2014-01-20 08:00:00+00:00,2014-02-21 18:03:46+00:00,17.0,22,"#Elderly, #Single Parent",female,monthly,2014-01-26,2014,January,Sunday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661941,1300.0,1300.0,Tailoring,Services,to buy a sewing machine. ,SV,USD,199.0,2014-01-26 17:15:04+00:00,2014-01-17 08:00:00+00:00,2014-02-18 00:02:53+00:00,14.0,50,,female,monthly,2014-01-26,2014,January,Sunday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661942,500.0,500.0,Personal Housing Expenses,Housing,to improve a room in her house that needs a roof and a floor.,SV,USD,199.0,2014-01-26 17:20:34+00:00,2014-01-17 08:00:00+00:00,2014-02-22 03:42:31+00:00,14.0,20,"#Schooling, #Parent",female,monthly,2014-01-26,2014,January,Sunday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661943,1200.0,1200.0,General Store,Retail,"to expand her store and to buy a new sewing machine, which will help to increase her family income.",SV,USD,199.0,2014-01-26 17:27:21+00:00,2014-01-17 08:00:00+00:00,2014-02-18 09:38:23+00:00,26.0,48,,female,monthly,2014-01-26,2014,January,Sunday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661940,1500.0,1500.0,Personal Housing Expenses,Housing,"to buy galvanized metal sheeting, tiles for the roof, and tiles for the floor.",SV,USD,199.0,2014-01-26 17:08:19+00:00,2014-01-17 08:00:00+00:00,2014-03-10 18:47:33+00:00,20.0,50,"#Single Parent, #Schooling, #Widowed, user_favorite",female,monthly,2014-01-26,2014,January,Sunday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,661938,1000.0,1000.0,Hardware,Retail,"to purchase construction supplies such as bricks, iron, cement, etc.",SV,USD,199.0,2014-01-26 17:01:43+00:00,2014-01-17 08:00:00+00:00,2014-02-20 00:06:45+00:00,26.0,33,#Health and Sanitation,female,monthly,2014-01-26,2014,January,Sunday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,663169,500.0,500.0,Property,Housing,to pay for the paperwork to register the deed for her house.,SV,USD,199.0,2014-01-28 22:05:15+00:00,2014-01-28 08:00:00+00:00,2014-02-01 23:39:38+00:00,21.0,20,,female,monthly,2014-01-28,2014,January,Tuesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,663037,300.0,300.0,Farming,Agriculture,to harvest his grain.,SV,USD,199.0,2014-01-28 15:35:02+00:00,2014-01-08 08:00:00+00:00,2014-02-02 10:08:34+00:00,14.0,11,"#Parent, #Supporting Family",male,bullet,2014-01-28,2014,January,Tuesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,663138,1000.0,1000.0,Farming,Agriculture,to pay the rent on his farmland and to buy farming supplies.,SV,USD,199.0,2014-01-28 20:28:09+00:00,2014-01-20 08:00:00+00:00,2014-02-27 20:47:14+00:00,14.0,40,"volunteer_like, volunteer_pick, #Elderly, #Hidden Gem, user_favorite",male,bullet,2014-01-28,2014,January,Tuesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,663134,1000.0,1000.0,Personal Medical Expenses,Health,pay for her mother's eye surgery.,SV,USD,199.0,2014-01-28 19:38:04+00:00,2014-01-22 08:00:00+00:00,2014-02-26 09:50:21+00:00,26.0,40,#Health and Sanitation,female,monthly,2014-01-28,2014,January,Tuesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,663075,1500.0,1500.0,Farming,Agriculture,"to buy an irrigation system, which he needs because he raises corn and sorghum.",SV,USD,199.0,2014-01-28 16:53:46+00:00,2014-01-22 08:00:00+00:00,2014-03-02 05:03:51+00:00,14.0,59,,male,bullet,2014-01-28,2014,January,Tuesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,663152,500.0,500.0,Food Production/Sales,Food,to buy supplies to make a greater variety of snacks and to cover some school expenses,SV,USD,199.0,2014-01-28 21:26:06+00:00,2014-01-15 08:00:00+00:00,2014-02-01 01:42:07+00:00,20.0,19,,female,monthly,2014-01-28,2014,January,Tuesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,663150,800.0,800.0,Personal Housing Expenses,Housing,"to purchase materials such as sheeting, and to pay workers for her house.",SV,USD,199.0,2014-01-28 21:12:43+00:00,2014-01-07 08:00:00+00:00,2014-03-26 15:34:24+00:00,20.0,31,"#Parent, #Health and Sanitation",female,monthly,2014-01-28,2014,January,Tuesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,663030,800.0,800.0,Motorcycle Transport,Transportation,to buy a motorcycle.,SV,USD,199.0,2014-01-28 15:28:02+00:00,2014-01-16 08:00:00+00:00,2014-03-18 06:43:08+00:00,20.0,30,"#Inspiring Story, #Eco-friendly, #Health and Sanitation, #Parent, #Supporting Family, user_favorite, #Unique, #Tourism, #Parent, user_favorite, user_favorite, user_favorite, user_favorite, user_favorite",male,monthly,2014-01-28,2014,January,Tuesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,663065,750.0,750.0,Personal Housing Expenses,Housing,"to improve his home, specifically, to repair the roof, window, and door, and to cement the floor.",SV,USD,199.0,2014-01-28 16:37:25+00:00,2014-01-19 08:00:00+00:00,2014-03-25 02:16:05+00:00,20.0,30,"#Health and Sanitation, #Parent",male,monthly,2014-01-28,2014,January,Tuesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,663157,600.0,600.0,Food Production/Sales,Food,to buy supplies to make more food and drinks to sell,SV,USD,199.0,2014-01-28 21:36:25+00:00,2014-01-21 08:00:00+00:00,2014-02-22 23:20:08+00:00,20.0,19,user_favorite,male,monthly,2014-01-28,2014,January,Tuesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,663019,1000.0,1000.0,Personal Housing Expenses,Housing,"to buy sand, cement, iron, and cement blocks, etc.",SV,USD,199.0,2014-01-28 14:57:31+00:00,2014-01-17 08:00:00+00:00,2014-03-27 01:47:28+00:00,26.0,37,"#Elderly, #Supporting Family, #Sustainable Ag",male,monthly,2014-01-28,2014,January,Tuesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,663053,600.0,600.0,Fruits & Vegetables,Food,to buy a batch of fruit at a farm.,SV,USD,199.0,2014-01-28 16:06:57+00:00,2014-01-15 08:00:00+00:00,2014-02-18 01:15:19+00:00,20.0,23,"#Parent, #Vegan, user_favorite",male,monthly,2014-01-28,2014,January,Tuesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,663090,600.0,600.0,Personal Housing Expenses,Housing,to repair the gate of his house.,SV,USD,199.0,2014-01-28 17:10:19+00:00,2014-01-23 08:00:00+00:00,2014-03-27 09:45:08+00:00,14.0,19,"#Animals, #Schooling, #Single Parent",male,monthly,2014-01-28,2014,January,Tuesday
"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,663062,250.0,250.0,Food Production/Sales,Food,to start a business selling tortillas: to buy a griddle and the necessary supplies to make tortillas.,SV,USD,199.0,2014-01-28 16:31:08+00:00,2014-01-22 08:00:00+00:00,2014-02-18 16:13:02+00:00,14.0,7,,male,monthly,2014-01-28,2014,January,Tuesday
